User ID,Age,Gender,Country,Daily Social Media Time (hrs),Daily Entertainment Time (hrs),Social Media Platforms Used,Primary Platform,Daily Messaging Time (hrs),Daily Video Content Time (hrs),Daily Gaming Time (hrs),Occupation,Marital Status,Monthly Income (USD),Device Type,Internet Speed (Mbps),Subscription Platforms,Average Sleep Time (hrs),Physical Activity Time (hrs),Reading Time (hrs),Work/Study Time (hrs),Screen Time (hrs),Notifications Received Daily,Daily Music Listening Time (hrs),Preferred Content Type,Primary Social Media Goal,Preferred Entertainment Platform,Time Spent in Online Communities (hrs),Social Media Fatigue Level (scale 1-10),News Consumption Time (hrs),Ad Interaction Count,Time on Educational Platforms (hrs),Parental Status,Tech Savviness Level (scale 1-10),Preferred Device for Entertainment,Data Plan Used,Digital Well-being Awareness,Sleep Quality (scale 1-10),Social Isolation Feeling (scale 1-10),Monthly Expenditure on Entertainment (USD)
82,45,Other,India,0.89,3.32,1,Twitter,1.56,5.7,0.26,Unemployed,Divorced,5351.15,Smartphone,66.36,3,6.16,0.61,0.02,6.44,9.23,115,5.98,Movies,Entertainment,Netflix,3.64,8,2.73,10,2.45,Yes,3,Smartphone,10GB,Low,5,8,439.16
83,30,Other,Canada,5.71,3.03,1,Instagram,3.2,2.5,2.13,Student,Widowed,1344.91,Tablet,62.29,1,6.34,0.71,1.89,3.45,5.79,76,3.29,News,Networking,Amazon Prime,0.43,1,0.99,23,0.96,No,7,PC,50GB,High,8,6,395.41
84,16,Other,Australia,2.98,7.68,3,YouTube,0.45,3.63,0.33,Student,Married,1833.86,Smartphone,45.79,5,6.5,0.18,0.53,3.17,11.08,161,4.23,Movies,Entertainment,Amazon Prime,0.06,9,1.96,24,4.45,Yes,3,Tablet,50GB,Moderate,9,4,475.19
85,29,Female,UK,1.66,9.35,4,YouTube,4.2,3.99,3.16,Professional,Widowed,1617.31,Smartphone,84.89,4,4.48,2.24,3.11,2.83,8.14,120,1.06,Short Videos,Education,Spotify,3.41,5,0.7,13,0.35,No,6,Tablet,Unlimited,Low,4,1,110.98
86,29,Male,India,6.74,4.2,4,Facebook,0.41,4.45,2.96,Retired,Married,8097.66,PC,85.72,4,4.69,1.33,2.89,7.22,3.02,166,2.16,Series,Education,Netflix,1.3,7,2.15,13,1.38,Yes,3,PC,50GB,High,1,6,282.74
87,50,Other,Australia,6.31,4.08,3,Facebook,3.25,6.65,4.38,Student,Single,8323.31,Smartphone,6.84,1,4.61,2.25,1.25,9.67,6.05,115,2.47,Series,Education,Netflix,3.32,7,2.39,44,2.99,Yes,8,Tablet,Unlimited,Low,2,8,233.0
88,46,Female,UK,6.08,4.52,5,Facebook,1.55,3.71,4.2,Professional,Married,5476.27,Tablet,57.35,2,4.08,0.57,1.69,0.87,9.35,11,1.67,Movies,Entertainment,YouTube,0.54,6,2.04,32,4.13,Yes,1,Smart TV,50GB,Moderate,3,7,176.38
89,59,Female,USA,5.71,7.05,3,Twitter,1.39,0.53,1.22,Student,Married,4512.57,Tablet,22.65,1,7.85,2.17,3.26,7.89,7.77,70,3.79,Short Videos,Education,Amazon Prime,0.95,2,0.47,48,4.27,Yes,5,Tablet,50GB,Low,2,5,204.6
90,37,Male,Canada,3.9,9.0,1,Instagram,2.33,2.96,2.07,Unemployed,Single,8945.8,PC,10.98,2,7.08,2.34,0.78,2.28,4.38,171,0.65,News,News,YouTube,1.08,8,0.33,43,3.16,No,7,Tablet,10GB,Low,4,1,207.42
91,19,Female,Australia,3.39,6.81,4,TikTok,2.27,5.98,3.09,Retired,Divorced,9360.91,PC,90.56,0,4.81,1.9,1.67,0.09,11.36,140,2.22,News,News,Amazon Prime,1.88,5,1.25,7,2.76,Yes,5,Smartphone,50GB,High,3,9,229.79
